Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::Performance::Profiler#run 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::SQLite3Adapter#active? 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::AbstractAdapter#verify! 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkout_callbacks 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool#checkout_and_verify 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::AbstractAdapter#lease 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#remove 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#can_remove_no_wait? 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#no_wait_poll 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#internal_poll 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::ConnectionLeasingQueue#internal_poll 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#poll 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool#acquire_connection 
   NaN      0.000     0.000     0.000     0.000       49   ActiveRecord::ConnectionAdapters::ConnectionPool#checkout 
   NaN      0.000     0.000     0.000     0.000       50   Thread::ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000       50   MonitorMixin::ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000       99   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#synchronize 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::ConnectionPool::Queue#add 
   NaN      0.000     0.000     0.000     0.000       50   #<Class:0x00007fc0f2810578>#get_time 
   NaN      0.000     0.000     0.000     0.000       50   <Module::Concurrent>#monotonic_time 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire 
   NaN      0.000     0.000     0.000     0.000       99   <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#__callbacks 
   NaN      0.000     0.000     0.000     0.000       99   ActiveRecord::ConnectionAdapters::AbstractAdapter#__callbacks 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks 
   NaN      0.000     0.000     0.000     0.000       50   Concurrent::Collection::NonConcurrentMapBackend#pair? 
   NaN      0.000     0.000     0.000     0.000       50   Concurrent::Collection::NonConcurrentMapBackend#delete_pair 
   NaN      0.000     0.000     0.000     0.000       50   Concurrent::Collection::MriMapBackend#delete_pair 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::ConnectionPool#remove_connection_from_thread_cache 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections! 
