Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.135067
Sort by: self_time

 %self      total      self      wait     child     calls  name
  3.44      0.005     0.005     0.000     0.000      350   Exception#backtrace 
  1.97      0.003     0.003     0.000     0.000      300   IO#write 
  1.87      0.091     0.003     0.000     0.088     3100  *Array#each 
  1.55      0.020     0.002     0.000     0.018     3850  *Class#new 
  1.41      0.014     0.002     0.000     0.012     1200  *MonitorMixin#mon_synchronize 
  1.29      0.004     0.002     0.000     0.002      250   Array#select 
  1.26      0.004     0.002     0.000     0.002     2750   Concurrent::Map#[] 
  1.23      0.092     0.002     0.000     0.090      400  *ActiveSupport::Callbacks#run_callbacks 
  1.15      0.002     0.002     0.000     0.001     5750   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.02      0.001     0.001     0.000     0.000     1401   Hash#initialize_copy 
  0.93      0.002     0.001     0.000     0.001     1200   MonitorMixin#mon_exit 
  0.91      0.002     0.001     0.000     0.001     2750   Concurrent::Collection::NonConcurrentMapBackend#[] 
  0.91      0.011     0.001     0.000     0.009      300   Logger#add 
  0.90      0.002     0.001     0.000     0.001      700   Hash#each 
  0.87      0.002     0.001     0.000     0.000      850   MonitorMixin#mon_enter 
  0.78      0.003     0.001     0.000     0.002      600   ActionDispatch::Request#initialize 
  0.73      0.002     0.001     0.000     0.001     2050   ActiveSupport::PerThreadRegistry#instance 
  0.70      0.001     0.001     0.000     0.000     2500   Rack::Request::Env#get_header 
  0.67      0.001     0.001     0.000     0.000     8100   <Class::Thread>#current 
  0.61      0.003     0.001     0.000     0.002     1400  *Array#map 
  0.55      0.007     0.001     0.000     0.007      300   Kernel#catch 
  0.52      0.001     0.001     0.000     0.001      100   URI::Generic#initialize 
  0.52      0.002     0.001     0.000     0.002     1500   Kernel#dup 
  0.51      0.001     0.001     0.000     0.000      150   <Class::File>#file? 
  0.49      0.001     0.001     0.000     0.000     5800   String#=== 
  0.49      0.002     0.001     0.000     0.002     2001   Kernel#initialize_dup 
  0.48      0.001     0.001     0.000     0.000     2800   Thread#[] 
  0.48      0.001     0.001     0.000     0.001      550   ActiveSupport::Callbacks::CallTemplate#expand 
  0.47      0.001     0.001     0.000     0.000     3400   Module#=== 
  0.47      0.116     0.001     0.000     0.115       50   ActionDispatch::Integration::Session#process 
  0.45      0.003     0.001     0.000     0.003       50   <Class::Rack::MockRequest>#env_for 
  0.45      0.001     0.001     0.000     0.001      600   ActionDispatch::Http::URL#initialize 
